gruppe_01,2023-07-01 19:14:41 +0200
gruppe_02,2023-06-26 14:39:42 +0200
gruppe_03,2023-07-03 01:02:55 +0200
gruppe_04,2023-06-28 09:45:58 +0200
gruppe_05,2023-07-02 23:51:30 +0200
gruppe_06,2023-06-29 09:19:56 +0200
gruppe_07,2023-07-01 22:11:35 +0200
gruppe_08,2023-07-02 22:26:31 +0200
gruppe_09,2023-07-02 16:12:23 +0200
gruppe_10,2023-06-30 10:41:41 +0200
gruppe_11,2023-07-03 09:56:51 +0200
gruppe_12,2023-06-29 13:47:25 +0200
gruppe_13,2023-07-02 13:03:46 +0200
gruppe_14,2023-07-03 00:01:32 +0200
